,expected_value,final_value,price_reduction_percent,number_of_bidders,supplier_previous_wins,buyer_previous_tenders,contract_days,risk_score,risk_label,region_Aktobe,region_Almaty,region_Astana,region_Atyrau,region_Karaganda,region_Kostanay,region_Pavlodar,region_Shymkent,procedure_type_direct_award,procedure_type_limited_tender,procedure_type_negotiation,procedure_type_open_tender
region_Almaty,-0.006809743175900926,-0.006836412479368565,-0.021599059985441756,-0.01715849926404175,0.025876680157858486,-0.007789475134803863,0.0018643959865838468,0.015706849144261785,0.02133507453102709,-0.13933593379567355,1.0,-0.13804479295024824,-0.14177265503792602,-0.1425378444641983,-0.1427924627386532,-0.14202794213415498,-0.13843278086430508,-0.0031494408067444155,0.029370185827514488,0.009605446868098824,-0.025134068977379426
region_Astana,-0.009816692182972932,-0.008281917316459724,-0.02699567779994881,0.021755297362043947,-0.013983025956963728,0.016900499602118653,-0.0030206521402375286,-0.015140077775321172,-0.010256226012152734,-0.13946672108443384,-0.13804479295024824,1.0,-0.14190572954833777,-0.14267163721754852,-0.14292649448874212,-0.1421612562690932,-0.13856272041106396,-0.010046128473898087,0.007567496171943559,-0.021561061105069928,0.013984684269785176
region_Atyrau,-0.011890796903353776,-0.012604476118066183,0.011305682011513326,0.017843515202445783,0.0028889415298331816,0.01947295166164925,0.006926404716792086,0.002677216539189064,0.006664638328856625,-0.14323298195463427,-0.14177265503792602,-0.14190572954833777,1.0,-0.1465244459762378,-0.14678618559872322,-0.14600028232908557,-0.14230456898895313,0.018199617780968038,-0.013261737159486585,-0.011210896235941605,0.0026130811141592577
region_Karaganda,0.013831889529446147,0.015450812711152883,0.004979321427242684,-0.015575008280002814,0.007162011272616426,0.0389326191922184,-0.011518516404082323,0.0065651184277073305,-0.0033325847206410924,-0.14400605320208854,-0.1425378444641983,-0.14267163721754852,-0.1465244459762378,1.0,-0.1475784345490795,-0.14678828952441536,-0.14307262931392528,0.014924939548349557,-0.024488635378666784,0.01366987569954498,-0.00047979031681082986
region_Kostanay,0.017332431983776864,0.016994385232507386,0.0023778722209390982,-0.0006023327052404081,-0.016825369712045953,-0.017147630203011764,-0.002992531549239312,0.0012594970094470042,-0.0038195225978833237,-0.14426329416791953,-0.1427924627386532,-0.14292649448874212,-0.14678618559872322,-0.1475784345490795,1.0,-0.14705050045604195,-0.1433282028855238,-0.013087904815751812,0.008893512859498172,-0.001808500867583405,0.00415849950278436
region_Pavlodar,-0.011723597304190387,-0.01055785927319468,-0.0121057007528562,-0.017869443801157882,-0.01223682759803375,-0.018951116513416973,0.008513936432250544,0.013246198913154828,0.009569285569198673,-0.14349089863142592,-0.14202794213415498,-0.1421612562690932,-0.14600028232908557,-0.14678828952441536,-0.14705050045604195,1.0,-0.1425608138916643,0.01602368964941944,-0.013774583578725188,0.007933444384335585,-0.006137923713843197
region_Shymkent,0.009722453124938761,0.007879027567582174,0.020206652595079228,0.002848176145911145,0.002142392663811032,-0.0343242328538157,0.003597012823278429,-0.01369403323202243,-0.02314459999897596,-0.13985870546166004,-0.13843278086430508,-0.13856272041106396,-0.14230456898895313,-0.14307262931392528,-0.1433282028855238,-0.1425608138916643,1.0,-0.020756056297631498,0.013344725295669652,0.011047765425926056,-0.0006633298500541401
procedure_type_direct_award,-0.009674610676969987,0.010767965558531503,-0.3822964545575453,-0.47664620282241343,-0.0032297870490251997,-0.017143626672841087,-0.02614243930706871,0.7730594970499786,0.6964481776316683,-0.0027881537090427887,-0.0031494408067444155,-0.010046128473898087,0.018199617780968038,0.014924939548349557,-0.013087904815751812,0.01602368964941944,-0.020756056297631498,1.0,-0.19545694594755547,-0.1333858743370498,-0.5291086172790703
procedure_type_limited_tender,-0.01351916686701647,-0.009880412405452618,-0.06512591585003655,-0.3097927094681207,-0.010895980418775373,-0.0032051256354789495,-0.002253165145762346,-0.02742837716522762,-0.18058208397412534,-0.006678477469253416,0.029370185827514488,0.007567496171943559,-0.013261737159486585,-0.024488635378666784,0.008893512859498172,-0.013774583578725188,0.013344725295669652,-0.19545694594755547,1.0,-0.1336787775954187,-0.530270491718942
procedure_type_negotiation,0.009205719872691082,0.013723823936870163,-0.076184384475376,-0.25965571670581605,0.007159941167191184,0.00803446018234453,0.013048361032613868,0.3144958345360671,0.18782870360157103,-0.007867822969774646,0.009605446868098824,-0.021561061105069928,-0.011210896235941605,0.01366987569954498,-0.001808500867583405,0.007933444384335585,0.011047765425926056,-0.1333858743370498,-0.1336787775954187,1.0,-0.36187300906690356
procedure_type_open_tender,0.012258688046948268,-0.008377348069922285,0.37904100958291065,0.7372106622522921,0.006594913638617193,0.010769053401469397,0.013991778695459757,-0.7370368390077923,-0.4929989883252123,0.011545515274537285,-0.025134068977379426,0.013984684269785176,0.0026130811141592577,-0.00047979031681082986,0.00415849950278436,-0.006137923713843197,-0.0006633298500541401,-0.5291086172790703,-0.530270491718942,-0.36187300906690356,1.0
